Date,Open,High,Low,Close,Adj Close,Volume
2019-10-17,5730.000000,5817.000000,5697.000000,5704.000000,5172.025391,1612861
2019-10-18,5716.000000,5748.000000,5698.000000,5720.000000,5186.532715,717802
2019-10-21,5722.000000,5808.500000,5705.500000,5768.000000,5230.056641,1074335
2019-10-22,5800.000000,5860.500000,5771.000000,5860.500000,5313.929688,1208186
2019-10-23,5849.500000,5976.000000,5828.000000,5976.000000,5418.657715,1070604
2019-10-24,5960.000000,6156.000000,5957.000000,6150.000000,5576.429688,1730214
2019-10-25,6121.000000,6150.000000,6026.500000,6117.500000,5546.960938,892202
2019-10-28,6128.500000,6194.000000,5881.000000,5916.000000,5364.253418,1870618
2019-10-29,5920.000000,5950.000000,5775.500000,5820.000000,5277.206543,1880721
2019-10-30,5808.000000,5896.000000,5775.000000,5850.000000,5304.408691,1273089
2019-10-31,5854.000000,5977.000000,5854.000000,5919.500000,5367.426758,1293941
2019-11-01,5933.500000,6045.000000,5923.000000,6021.000000,5459.460938,797741
2019-11-05,6066.500000,6098.000000,5955.000000,6008.000000,5447.672852,821452
2019-11-06,6003.500000,6140.000000,5971.000000,6140.000000,5567.362305,1021395
2019-11-07,6105.000000,6144.000000,6081.000000,6133.500000,5561.468262,1047562
2019-11-08,6120.000000,6135.000000,6000.000000,6040.000000,5476.688477,729467
2019-11-11,6000.000000,6048.000000,5958.500000,6048.000000,5483.942383,619945
2019-11-12,6044.000000,6098.500000,5991.000000,6033.000000,5470.341797,633653
2019-11-13,6004.500000,6053.000000,5976.000000,6050.000000,5485.755859,529921
2019-11-14,6062.000000,6165.000000,6005.500000,6084.500000,5517.038574,1035327
2019-11-15,6096.000000,6170.000000,6073.500000,6161.000000,5586.403809,862770
2019-11-18,6177.500000,6194.000000,6066.500000,6077.000000,5510.238281,674965
2019-11-19,6090.000000,6137.000000,6071.000000,6090.000000,5522.025391,536467
2019-11-20,6066.500000,6110.000000,6025.500000,6084.500000,5517.038574,535480
2019-11-21,6050.000000,6088.000000,6035.000000,6087.500000,5519.758789,437969
2019-11-22,6062.000000,6155.000000,6062.000000,6120.000000,5549.228027,636349
2019-11-25,6135.000000,6137.500000,6090.000000,6103.000000,5533.812988,394176
2019-11-26,6105.000000,6150.000000,6060.000000,6060.000000,5494.823242,2322007
2019-11-27,6069.000000,6125.500000,6060.000000,6065.000000,5499.357422,839412
2019-11-28,6078.000000,6133.000000,6034.000000,6120.000000,5549.228027,724816
2019-11-29,6120.000000,6159.500000,6084.500000,6137.500000,5565.095703,700302
2019-12-02,6150.000000,6227.500000,6121.500000,6159.500000,5585.043945,946654
